City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Puerto Escondido,MX,15.85,-97.0667,77.94,71,0,4.99,clear sky
242,Beringovskiy,RU,63.05,179.3167,-5.04,91,100,19.71,overcast clouds
243,Fomboni,KM,-12.28,43.7425,81.77,68,0,5.26,clear sky
244,Richards Bay,ZA,-28.783,32.0377,76.06,91,100,5.3,overcast clouds
245,Minden,DE,52.2833,8.9167,35.6,93,100,10.36,overcast clouds
246,Rome,US,34.257,-85.1647,55.4,71,75,3.15,broken clouds
247,Cidreira,BR,-30.1811,-50.2056,74.79,91,100,9.46,light rain
248,Kantunilkin,MX,21.0917,-87.45,72.64,93,0,4.61,clear sky
249,Jamestown,US,42.097,-79.2353,32.0,100,90,13.69,light snow
250,Plettenberg Bay,ZA,-34.0527,23.3716,67.12,85,64,4.81,light rain
251,Cambridge,CA,43.3601,-80.3127,25.0,80,90,8.05,overcast clouds
252,Poum,NC,-20.2333,164.0167,81.91,74,100,17.4,overcast clouds
253,Bengkulu,ID,-3.8004,102.2655,74.43,88,100,3.83,overcast clouds
254,Buy,RU,58.4786,41.53,32.09,98,100,11.7,snow
255,Silver City,US,32.7701,-108.2803,24.8,86,75,9.22,broken clouds
256,Olafsvik,IS,64.8945,-23.7142,27.25,88,100,19.75,overcast clouds
257,Mackay,AU,-21.15,149.2,89.01,70,22,12.66,few clouds
258,Bilma,NE,18.6853,12.9164,62.22,21,0,7.83,clear sky
259,San Luis Obispo,US,35.3666,-120.5343,48.99,71,90,5.75,overcast clouds
260,Waddan,LY,29.1614,16.139,49.23,62,0,13.85,clear sky
261,Deputatskiy,RU,69.3,139.9,-39.03,84,100,3.06,overcast clouds
262,Coihaique,CL,-45.5752,-72.0662,50.0,76,90,4.61,light rain
263,Najran,SA,17.4924,44.1277,50.0,53,0,0.83,clear sky
264,Necochea,AR,-38.5473,-58.7368,66.0,83,100,5.99,overcast clouds
265,Chernigovka,RU,44.3389,132.5728,13.87,88,0,13.04,clear sky
266,Georgetown,MY,5.4112,100.3354,82.4,78,20,4.61,few clouds
267,Cadillac,US,44.2519,-85.4012,21.2,79,90,8.05,overcast clouds
268,Karasjok,NO,69.4719,25.5112,15.8,79,75,3.44,broken clouds
269,Salalah,OM,17.0151,54.0924,73.4,31,0,11.5,clear sky
270,Vila Do Maio,CV,15.1333,-23.2167,69.8,56,0,11.5,clear sky
271,Teguldet,RU,57.3064,88.1667,-13.49,89,100,9.1,light snow
272,Sitka,US,57.0531,-135.33,32.0,51,40,8.05,scattered clouds
273,Cockburn Town,TC,21.4612,-71.1419,75.72,77,49,19.1,scattered clouds
274,Madisonville,US,37.3281,-87.4989,41.0,65,90,6.91,overcast clouds
275,Novopokrovka,UA,49.8425,36.5477,33.8,100,90,6.71,moderate rain
276,Moree,AU,-29.4667,149.85,95.0,29,75,8.05,broken clouds
277,Hilton Head Island,US,32.2163,-80.7526,62.6,94,75,5.75,broken clouds
278,Port Hawkesbury,CA,45.6169,-61.3485,30.0,93,75,7.14,broken clouds
279,Coracora,PE,-15.0333,-73.7833,50.77,72,57,1.36,broken clouds
280,Dunedin,NZ,-45.8742,170.5036,73.17,45,100,18.1,overcast clouds
281,Coahuayana,MX,18.7333,-103.6833,68.83,86,77,0.36,broken clouds
282,Labuan,MY,5.2767,115.2417,82.4,83,20,4.61,few clouds
283,Husavik,IS,66.0449,-17.3389,12.2,85,0,3.44,light snow
284,Harlow,GB,51.7766,0.1116,45.0,100,90,8.05,mist
285,Lovozero,RU,68.005,35.0117,1.94,93,99,5.14,overcast clouds
286,Vao,NC,-22.6667,167.4833,76.8,80,33,23.04,scattered clouds
287,Puerto Colombia,CO,10.9878,-74.9547,80.13,75,0,27.63,clear sky
288,Alibag,IN,18.6411,72.8792,68.0,73,21,4.61,haze
289,Uberaba,BR,-19.7483,-47.9319,68.88,84,100,8.39,overcast clouds
290,Henties Bay,NA,-22.116,14.2845,68.0,88,68,4.79,broken clouds
291,Celestun,MX,20.8667,-90.4,82.22,64,62,9.73,broken clouds
292,Honiara,SB,-9.4333,159.95,80.17,84,100,7.31,light rain
293,Nichinan,JP,31.6,131.3667,53.6,94,75,8.05,broken clouds
294,Praia,CV,14.9215,-23.5087,69.8,56,0,11.5,clear sky
295,Worland,US,44.0169,-107.9554,16.0,85,1,4.18,clear sky
296,Havoysund,NO,70.9963,24.6622,23.0,93,99,16.11,light snow
297,Qaqortoq,GL,60.7167,-46.0333,10.62,81,0,8.84,clear sky
298,Cikupa,ID,-6.2364,106.5083,82.99,83,40,8.05,scattered clouds
299,Khovu-Aksy,RU,51.1333,93.6,-9.74,80,99,3.31,overcast clouds
300,Pangoa,PE,-12.1167,-73.0,70.03,96,100,1.66,overcast clouds
301,Tonantins,BR,-2.8731,-67.8022,73.74,95,99,1.92,overcast clouds
302,Kangaatsiaq,GL,68.3065,-53.4641,11.8,94,100,6.02,overcast clouds
303,Edd,ER,13.9297,41.6925,73.76,34,0,12.44,clear sky
304,Chippewa Falls,US,44.9369,-91.3929,15.8,67,90,4.61,overcast clouds
305,Beyneu,KZ,45.3167,55.2,28.22,95,10,13.65,clear sky
306,Skowhegan,US,44.7651,-69.7192,27.0,85,100,2.26,overcast clouds
307,Roma,US,43.2128,-75.4557,26.6,80,90,10.36,light snow
308,Flin Flon,CA,54.7682,-101.865,-17.93,88,0,1.74,clear sky
309,Fairbanks,US,64.8378,-147.7164,-9.0,69,20,1.72,few clouds
310,Khani,GE,41.9563,42.9566,55.4,28,0,24.16,clear sky
311,Chilliwack,CA,49.1747,-121.9443,39.2,48,100,3.44,overcast clouds
312,Charlestown,AU,-32.95,151.6667,72.0,90,100,19.04,overcast clouds
313,Hamilton,US,39.1834,-84.5333,37.4,70,90,4.61,overcast clouds
314,Port Shepstone,ZA,-30.7414,30.455,74.86,81,98,9.78,overcast clouds
315,Forestville,US,38.8451,-76.875,36.0,87,90,4.74,overcast clouds
316,Broken Hill,AU,-31.95,141.4333,73.4,56,97,13.8,overcast clouds
317,Dahuk,IQ,36.8695,42.994,42.85,57,100,4.68,overcast clouds
318,Kralendijk,BQ,12.15,-68.2667,78.8,73,20,18.41,few clouds
319,Sinfra,CI,6.6167,-5.9167,75.2,88,6,6.91,haze
320,Ancud,CL,-41.8697,-73.8203,53.6,82,20,6.91,few clouds
321,Flinders,AU,-34.5833,150.8552,66.99,95,100,3.0,overcast clouds
322,Ugoofaaru,MV,5.6667,73.0,81.16,60,100,9.33,overcast clouds
323,Jasper,US,37.2001,-94.3502,30.99,86,90,8.05,overcast clouds
324,Atar,MR,20.5169,-13.0499,66.6,22,0,7.65,clear sky
325,Luderitz,NA,-26.6481,15.1594,64.89,68,11,25.93,few clouds
326,Batagay-Alyta,RU,67.8006,130.4114,-39.64,79,1,0.85,clear sky
327,Ladario,BR,-19.0047,-57.6017,80.13,66,96,3.22,overcast clouds
328,Aswan,EG,24.0934,32.907,53.01,39,1,3.94,clear sky
329,Mersing,MY,2.4312,103.8405,78.8,89,40,3.44,scattered clouds
330,Centralia,US,46.7162,-122.9543,39.0,87,90,3.91,moderate rain
331,Mwinilunga,ZM,-11.7358,24.4293,61.43,95,100,2.8,overcast clouds
332,Isangel,VU,-19.55,169.2667,84.2,74,90,14.97,overcast clouds
333,Marzuq,YE,14.4,46.4667,52.07,41,0,1.77,clear sky
334,Rio Gallegos,AR,-51.6226,-69.2181,46.4,39,0,19.57,clear sky
335,Atambua,ID,-9.1061,124.8925,80.85,71,100,6.89,overcast clouds
336,Bandarbeyla,SO,9.4942,50.8122,72.21,77,36,17.34,scattered clouds
337,Lyubim,RU,58.3625,40.6843,31.98,99,100,10.98,snow
338,Fallon,US,39.4735,-118.7774,30.2,69,90,8.05,overcast clouds
339,Salinopolis,BR,-0.6136,-47.3561,79.7,83,100,8.19,light rain
340,Machico,PT,32.7,-16.7667,64.4,77,40,6.91,scattered clouds
341,Aykhal,RU,66.0,111.5,-37.73,80,0,1.92,clear sky
342,Kysyl-Syr,RU,63.8986,122.7617,-48.03,76,100,5.17,overcast clouds
343,Vila Praia De Ancora,PT,41.811,-8.8526,61.0,100,90,4.61,fog
344,Antigonish,CA,45.6169,-61.9986,33.01,85,72,1.01,broken clouds
345,Nizhniy Baskunchak,RU,48.2198,46.8311,28.58,95,97,11.5,overcast clouds
346,Nouadhibou,MR,20.931,-17.0347,62.6,82,0,18.41,clear sky
347,Bonavista,CA,48.6499,-53.1147,33.01,100,100,6.91,overcast clouds
348,Lisala,CD,2.15,21.5167,71.13,78,7,0.85,clear sky
349,Buala,SB,-8.145,159.5921,84.52,76,95,13.27,light rain
