City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
349,Buala,SB,84.52,light rain,-8.145,159.5921,Maringe Lagoon Lodge
354,Mitu,CO,72.54,overcast clouds,1.1983,-70.1733,
362,Kloulklubed,PW,82.17,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
366,Morondava,MG,80.31,light rain,-20.2833,44.2833,La Case Bambou
373,Nieuw Amsterdam,SR,79.0,broken clouds,5.8833,-55.0833,Hotel Stardust
374,Parambu,BR,72.64,broken clouds,-6.2111,-40.6944,Hotel pousada santo onofre
375,Charters Towers,AU,88.97,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
376,Kathu,TH,84.99,few clouds,7.9178,98.3332,Novotel Phuket Resort
378,Kaeo,NZ,82.0,few clouds,-35.1,173.7833,Bushido Lodge
380,Airai,TL,72.36,overcast clouds,-8.9266,125.4092,Juvinal Martin
382,Ariquemes,BR,74.5,moderate rain,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
383,Nhamunda,BR,74.41,overcast clouds,-2.1861,-56.7131,Pousada Da Praia
387,Reconquista,AR,72.39,clear sky,-29.15,-59.65,Grand Hotel
393,Magdalena,PH,81.0,broken clouds,14.1999,121.429,Samparada & Gestiada Residences
395,Namibe,AO,75.09,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
404,Vaitape,PF,81.7,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
405,Taguatinga,BR,75.29,broken clouds,-12.3857,-46.5711,
407,Caravelas,BR,74.37,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
408,Kilindoni,TZ,80.55,light rain,-7.9139,39.6668,Bustani B&B
412,Kismayo,SO,75.49,clear sky,-0.3582,42.5454,Agan-Hotel
413,Madimba,TZ,76.53,clear sky,-10.4,40.3333,
417,Tucuma,BR,76.12,moderate rain,-0.1833,-50.05,
419,Mogadishu,SO,74.98,few clouds,2.0371,45.3438,Hotel Juba
420,Lorica,CO,78.6,clear sky,9.2365,-75.8135,Hostal Raíces del Sabor
428,Samarai,PG,85.86,broken clouds,-10.6167,150.6667,Nuli Sapi
434,Giyani,ZA,71.15,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
435,Sumbe,AO,75.33,broken clouds,-11.2061,13.8437,Hotel Ritz Sumbe
436,Kununurra,AU,78.8,overcast clouds,-15.7667,128.7333,Hotel Kununurra
440,Anito,PH,80.37,overcast clouds,12.4497,125.2886,The Yellow House
441,Tuatapere,NZ,70.0,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
442,Moron,AR,82.0,overcast clouds,-34.6534,-58.6198,Hotel Morón
443,San Rafael Del Sur,NI,77.99,clear sky,11.8485,-86.4384,Hospedaje El Chino
444,Saint-Joseph,RE,75.2,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
