City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Guasdualito,VE,2021-01-24 05:25:36,7.2424,-70.7324,77.14,67,19,3.85
189,San Carlos De Bariloche,AR,2021-01-24 05:25:36,-41.1456,-71.3082,55.67,71,33,2.95
190,Nemuro,JP,2021-01-24 05:25:36,43.3236,145.575,28.4,64,20,12.66
191,Tura,IN,2021-01-24 05:25:37,25.5198,90.2201,72.57,41,66,3.42
192,Abu Samrah,SY,2021-01-24 05:25:37,35.3029,37.1841,37.71,72,22,6.64
193,Fortuna,US,2021-01-24 05:25:37,40.5982,-124.1573,46.99,87,90,7.83
194,Geraldton,AU,2021-01-24 05:25:37,-28.7667,114.6,75.09,56,10,8.93
195,Kaputa,ZM,2021-01-24 05:25:38,-8.4689,29.6619,69.39,81,100,2.24
196,Deputatskiy,RU,2021-01-24 05:25:38,69.3,139.9,-34.51,84,100,3.04
197,Swan River,CA,2021-01-24 05:25:38,52.1058,-101.2676,-7.6,71,60,5.75
198,Bosaso,SO,2021-01-24 05:25:38,11.2842,49.1816,75.2,73,0,8.12
199,Kirakira,SB,2021-01-24 05:25:38,-10.4544,161.9205,84.18,61,90,6.78
200,Dunedin,NZ,2021-01-24 05:25:39,-45.8742,170.5036,66.0,64,71,3.0
201,Puerto Leguizamo,CO,2021-01-24 05:25:39,-0.1934,-74.7819,70.3,98,99,1.28
202,Shenkursk,RU,2021-01-24 05:25:39,62.1091,42.896,29.8,98,99,6.78
203,Curup,ID,2021-01-24 05:25:39,-3.4667,102.5333,87.15,43,100,0.56
204,Ribeira Grande,PT,2021-01-24 05:25:39,38.5167,-28.7,62.47,88,75,22.95
205,Port Macquarie,AU,2021-01-24 05:25:39,-31.4333,152.9167,86.0,50,0,5.01
206,Teyateyaneng,LS,2021-01-24 05:25:40,-29.1472,27.7489,70.88,49,59,1.14
207,Belmonte,BR,2021-01-24 05:25:40,-15.8631,-38.8828,71.6,94,40,4.61
208,Riyadh,SA,2021-01-24 05:24:16,24.6877,46.7219,44.6,39,0,3.91
209,Chunskiy,RU,2021-01-24 05:25:40,56.0815,99.6342,4.42,92,68,2.44
210,Clonakilty,IE,2021-01-24 05:25:40,51.6231,-8.8706,34.0,93,40,16.11
211,Salalah,OM,2021-01-24 05:25:41,17.0151,54.0924,71.6,30,0,12.66
212,Bowen,AU,2021-01-24 05:25:41,-20.0167,148.2333,86.0,48,6,13.8
213,Omboue,GA,2021-01-24 05:25:41,-1.5746,9.2618,76.87,86,97,3.67
214,Zavetnoye,RU,2021-01-24 05:25:42,47.1194,43.8903,30.81,98,96,9.37
